year	url	status	text_bytes
2012	https://library.rvusa.com/brochure/2012-Lund.pdf	ok	337484
2013	https://library.rvusa.com/brochure/2013-Lund.pdf	ok	304291
2014	https://library.rvusa.com/brochure/2014-Lund.pdf	ok	376422
2015	https://library.rvusa.com/brochure/2015-Lund.pdf	ok	366867
2016	https://library.rvusa.com/brochure/2016-Lund.pdf	ok	364783
2017	https://library.rvusa.com/brochure/2017-Lund.pdf	ok	356802
2018	https://library.rvusa.com/brochure/2018-Lund.pdf	ok	412986
2019	https://library.rvusa.com/brochure/2019-Lund.pdf	ok	285154
2020	https://library.rvusa.com/brochure/2020-Lund.pdf	ok	343295
2021	https://library.rvusa.com/brochure/2021-Lund.pdf	ok	295845
2022	https://library.rvusa.com/brochure/2022-Lund.pdf	ok	242763
2023	https://library.rvusa.com/brochure/2023-Lund.pdf	ok	222514
2024	https://library.rvusa.com/brochure/2024-Lund.pdf	ok	174546
2025	https://library.rvusa.com/brochure/2025-Lund.pdf	ok	102968
2026	https://library.rvusa.com/brochure/2026-Lund.pdf	ok	46025
